PGC,PGC1,T17,Vcmb,DM,e_DM,DMtrgb,e_DMtrgb,DMceph,e_DMceph,DMsnIa,e_DMsnIa,distance_mpc,distance_err_mpc,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB
1019707,70186,0,9175,35.436,0.74,,,,,,,122.23624492787326,41.65598459838452,0.03060450573443045,344.7197,-7.3955,64.2154,-56.82,280.1091,25.3706
1019799,1019799,0,7241,35.482,0.33,,,,,,,124.85329261594948,18.974031805654786,0.024153376133298193,314.4818,-7.3901,41.1938,-31.4268,261.4638,51.7948
1020072,25555,0,6224,34.786,0.72,,,,,,,90.61498022319981,30.045413183600182,0.020761029285132983,136.9087,-7.3742,237.0238,25.8275,105.877,-56.5131
1020086,1020086,0,9865,35.776,0.56,,,,,,,142.95521400370373,36.866653009838615,0.0329060979912977,21.734,-7.3734,147.6352,-68.5256,291.4306,-9.6298
1020536,1020536,0,9033,35.736,0.72,,,,,,,140.34598729211737,46.53483526085202,0.030130844719249077,43.5221,-7.3451,184.379,-54.8421,297.1325,-30.5731
1020794,1020794,0,14731,36.486,0.63,,,,,,,198.24397628726373,57.51567669643974,0.04913732686363978,167.0841,-7.3291,263.3025,47.453,116.5971,-27.5869
1021158,1021158,0,13983,36.176,0.72,,,,,,,171.869969539774,56.9873130905699,0.0466422674315576,32.0874,-7.3081,169.078,-63.0646,294.1402,-19.559
1021242,182492,0,14072,36.256,0.69,,,,,,,178.31997722329163,56.662375144559704,0.04693913947628396,167.7762,-7.3026,264.1193,47.8643,116.7541,-26.9144
1021383,1021383,0,10079,35.006,0.67,,,,,,,100.27669229965868,30.94001265976862,0.03361992515502175,337.8538,-7.2931,57.2797,-51.3496,277.2581,31.7045
1021879,1021879,0,14071,36.536,0.56,,,,,,,202.8616716966295,52.31590125311326,0.046935803835331975,168.6066,-7.262,265.1107,48.3563,116.9322,-26.1052
1021956,3081448,0,13880,36.566,0.59,,,,,,,205.68375866278902,55.885314075014904,0.04629869641350351,124.2348,-7.2576,229.6409,15.3181,95.9184,-68.2452
1022352,1022352,0,9546,36.036,0.56,,,,,,,161.1387535720004,41.55599749039528,0.0318420285276156,135.0392,-7.2331,235.7327,24.3811,104.5743,-58.2353
1022846,1016399,0,14883,37.076,0.93,,,,,,,260.13572566531326,111.41114379741785,0.04964434428834097,25.0127,-7.2029,155.2113,-66.9771,292.4376,-12.7331
1022904,1022904,0,15466,37.846,1.02,,,,,,,370.85146587568573,174.19907963623018,0.0515890229633462,151.6799,-7.1987,247.6139,37.4038,111.8414,-42.3694
1023034,1023034,0,14519,36.526,0.74,,,,,,,201.92960697981204,68.81409522414751,0.0484301709818197,227.9934,-7.1911,352.7974,41.6851,134.7749,30.2306
1023359,159705,0,12526,36.336,1.02,,,,,,,185.01204347718584,86.90521856032663,0.04178223856452053,212.9829,-7.1733,335.4261,50.5499,129.008,16.3049
1023995,7746,0,15175,36.186,0.65,,,,,,,172.66328527432367,51.68434788140469,0.05061835144631958,30.4161,-7.1312,165.9391,-63.9713,293.892,-17.9082
