PGC1,DMzp,e_DMzp,Dist,Vh,Vls,V3k,Vpds,Vpwf,Vpec,Hi,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,SGX,SGY,SGZ
3841207,36.63,0.5,211.8,15617,15619,15798,535,236,236,77.7,0.052696455759404064,227.5841,6.1814,6.8869,50.9255,119.6525,34.1924,-6391,11228,8777
3841228,37.29,0.56,287.1,27531,27536,27711,7615,3772,3772,103.4,0.09243394642035992,227.6042,6.932,7.8726,51.3513,118.7792,34.4005,-10938,19914,15557
3841247,37.4,0.54,302.0,28471,28474,28651,7548,3712,3712,101.9,0.09556944891522255,227.624,6.4112,7.2184,51.0297,119.3958,34.2893,-11546,20497,16041
3841295,37.47,0.54,311.9,23841,23850,24019,1969,887,887,81.8,0.08011876002564415,227.6638,7.9094,9.2139,51.8661,117.6451,34.6942,-9098,17371,13575
3841396,38.27,0.53,450.8,28226,28248,28400,-2993,-1246,-1246,67.6,0.09473220303627519,227.7254,10.8303,13.3042,53.408,114.1804,35.3943,-9432,21007,16361
3841405,37.14,0.54,267.9,20978,21007,21150,2080,945,945,83.3,0.07054880613440916,227.7323,12.4361,15.6544,54.2164,112.2452,35.7102,-6457,15788,12261
3841416,37.39,0.54,300.6,22095,22140,22260,931,412,412,78.3,0.07425136759110865,227.7413,16.3895,21.8224,56.0047,107.4198,36.3459,-5338,17016,13122
3841420,37.71,0.54,348.3,24864,24897,25034,489,214,214,76.5,0.08350443559190539,227.7436,13.3992,17.1134,54.6726,111.0788,35.8916,-7254,18820,14596
3841506,38.47,0.49,494.3,28344,28398,28506,-5759,-2313,-2313,61.9,0.09508578097718523,227.8029,18.2743,24.9919,56.6917,105.1017,36.634,-5937,22002,16945
3841559,37.49,0.54,314.8,23456,23520,23614,1346,599,599,79.6,0.07876782544009163,227.8437,20.5104,28.876,57.4283,102.3278,36.8854,-4016,18379,14117
3841573,37.636,0.343,336.7,23448,23500,23610,-179,-78,-78,74.4,0.0787544828762837,227.8511,17.7949,24.2172,56.4684,105.7017,36.6255,-5103,18156,14019
3841609,38.24,0.52,444.6,24099,24158,24258,-6807,-2653,-2653,58.0,0.08091597821316773,227.8704,19.5135,27.1522,57.075,103.5716,36.8235,-4537,18799,14479
3841642,37.78,0.54,359.7,26956,27012,27116,1866,835,835,80.7,0.09044924005393092,227.8916,18.7937,25.9296,56.8034,104.4687,36.7728,-5405,20951,16170
3841643,37.61,0.48,332.7,21762,21824,21920,-1644,-692,-692,69.6,0.07311724966743494,227.8926,20.0717,28.1345,57.2428,102.8792,36.8945,-3890,17014,13102
3841830,37.447,0.396,308.6,24773,24805,24942,3163,1455,1455,86.0,0.08319755662432309,228.014,12.9257,16.6148,54.2149,111.7116,36.0686,-7417,18628,14604
3841855,36.55,0.53,204.2,18422,18481,18581,3966,1913,1913,95.4,0.06197954452876864,228.0366,19.2068,26.7242,56.8216,103.972,36.9505,-3566,14332,11109
3841877,37.37,0.55,297.9,27873,27873,28052,7207,3534,3534,101.0,0.09357139998498562,228.0461,5.4389,6.3821,50.1133,120.6653,34.4431,-11723,19773,15764
3841901,37.49,0.48,314.8,23237,23301,23393,1116,495,495,78.8,0.07803064878970371,228.067,20.6047,29.1647,57.26,102.2309,37.1013,-3937,18163,14056
3841980,38.0,0.56,398.1,28406,28445,28573,746,328,328,77.1,0.09530926892096798,228.1262,14.3264,18.834,54.7742,110.0222,36.411,-7837,21509,16884
3842041,36.37,0.5,187.9,12867,12869,13045,-576,-245,-245,71.8,0.04351343621859894,228.1615,5.8626,7.0203,50.2741,120.2054,34.6651,-5325,9148,7320
3842070,37.91,0.53,381.9,23996,24026,24165,-2709,-1123,-1123,67.2,0.08060576360463345,228.1865,12.381,15.944,53.803,112.4122,36.1363,-7397,17939,14168
3842136,37.61,0.54,332.7,24058,24129,24211,721,317,317,77.3,0.0807592030884246,228.2438,22.0033,31.733,57.5205,100.4926,37.3616,-3492,18858,14643
3842152,37.57,0.52,326.6,23148,23245,23287,185,80,80,75.6,0.07767707084879368,228.2576,28.4926,43.8162,58.7736,92.3206,37.4748,-746,18433,14142
3842166,37.96,0.52,390.8,25883,25955,26035,-1389,-590,-590,71.1,0.08684341218483889,228.2651,22.2326,32.1536,57.5653,100.2059,37.3944,-3653,20294,15762
3842181,37.68,0.52,343.6,23179,23253,23330,-944,-403,-403,72.0,0.07782050340972888,228.2747,22.7036,33.0051,57.6836,99.6144,37.428,-3084,18206,14132
3842192,38.271,0.225,451.0,27059,27117,27217,-4220,-1724,-1724,64.6,0.09078613979008104,228.2839,18.9517,26.4394,56.513,104.3188,37.1581,-5344,20941,16379
3842208,37.0,0.53,251.2,20872,20878,21048,3162,1474,1474,88.4,0.07020857075730705,228.2924,6.6138,8.0945,50.6105,119.3613,34.983,-8387,14909,11970
3842298,38.036,0.389,404.8,28262,28259,28440,154,67,67,75.4,0.09486562867435445,228.355,4.5987,5.6344,49.3603,121.7474,34.5131,-12252,19802,16011
3842363,35.75,0.51,141.3,13290,13318,13459,3226,1585,1585,98.6,0.04489439157271929,228.4035,11.7491,15.1969,53.3056,113.2305,36.2268,-4237,9873,7871
3842376,37.72,0.52,349.9,23191,23258,23344,-1369,-580,-580,70.7,0.07786720238305662,228.4099,21.1273,30.2647,57.117,101.6057,37.4595,-3714,18085,14146
3842390,37.137,0.256,267.5,18875,18902,19044,-72,-31,-31,74.7,0.06352394628953607,228.4193,11.5086,14.8624,53.1714,113.5267,36.1958,-6089,13986,11162
3842404,38.48,0.54,496.6,28605,28603,28782,-5627,-2266,-2266,62.3,0.09600641787993212,228.4332,4.8561,6.0217,49.4545,121.4724,34.6584,-12283,20067,16266
3842485,38.56,0.51,515.2,25861,25930,26014,-9636,-3648,-3648,53.9,0.08677336372484729,228.5009,21.2135,30.4631,57.062,101.5047,37.5501,-4100,20145,15803
3842552,37.41,0.56,303.4,28925,28919,29103,7930,3918,3918,103.1,0.09707715862551819,228.561,3.5304,4.5433,48.5417,123.061,34.4108,-13015,19996,16342
3842724,38.12,0.49,420.7,27161,27220,27317,-2090,-880,-880,69.5,0.0911197038852792,228.6991,18.8851,26.5785,56.1222,104.4508,37.5424,-5385,20901,16587
3842734,37.94,0.53,387.3,26850,26894,27012,-134,-58,-58,74.6,0.09010233339492484,228.706,15.2678,20.7259,54.689,108.9673,37.1083,-6971,20284,16226
3842880,38.16,0.53,428.5,25061,25081,25230,-4754,-1916,-1916,62.7,0.08415822121849377,228.8138,9.6751,12.6155,51.8891,115.849,36.2005,-8824,18215,14813
3842924,36.5,0.48,199.5,13406,13413,13579,-859,-363,-363,70.5,0.04529466848695707,228.8534,6.4483,8.3908,50.0607,119.7298,35.4804,-5416,9485,7785
3842937,38.77,0.52,567.5,26401,26457,26558,-12421,-4564,-4564,50.0,0.08858795240272523,228.8638,17.8819,25.0167,55.6096,105.7301,37.5932,-5683,20179,16140
3843003,37.42,0.54,304.8,25012,25014,25186,3688,1712,1712,88.0,0.08401145301660658,228.9104,5.2576,6.9532,49.3151,121.1572,35.2244,-10572,17487,14427
3843026,36.79,0.5,228.0,16393,16429,16557,162,70,70,75.7,0.05522820724195804,228.9305,13.1414,17.6585,53.5329,111.641,36.9854,-4839,12199,9884
3843163,37.23,0.48,279.3,24269,24364,24406,4678,2223,2223,92.9,0.08140965307406099,229.0375,27.4886,42.0754,57.9681,93.5701,38.1878,-1192,19113,15063
3843178,37.16,0.49,270.4,24594,24673,24739,5661,2742,2742,97.4,0.08252042151107084,229.0477,23.5343,34.8327,57.2056,98.6012,38.1727,-2900,19179,15249
3843210,37.57,0.52,326.6,23076,23108,23241,137,60,60,75.5,0.07752363136500252,229.0691,12.0466,16.1647,52.8873,113.0193,36.9224,-7223,17003,13882
3843217,37.34,0.54,293.8,24218,24259,24380,3621,1684,1684,88.2,0.08132292640930948,229.0748,14.2201,19.3851,53.9063,110.3354,37.3019,-6706,18095,14701
3843242,38.2,0.55,436.5,28484,28485,28658,-1770,-749,-749,70.5,0.09559279840188642,229.0917,4.7211,6.4616,48.8495,121.8495,35.2528,-12274,19759,16441
3843295,37.38,0.49,299.2,24236,24276,24398,3255,1502,1502,86.7,0.08138296794644514,229.1286,13.8913,18.9289,53.7105,110.754,37.3007,-6842,18058,14711
3843306,37.39,0.53,300.6,22371,22396,22538,1219,543,543,79.4,0.07517867577575951,229.1385,10.2831,13.7265,51.9371,115.1947,36.6418,-7649,16261,13366
3843343,36.95,0.47,245.5,18185,18213,18351,772,342,342,78.3,0.06121234710981289,229.1685,11.0319,14.7973,52.2964,114.2874,36.8229,-5996,13289,10916
3843352,37.29,0.49,287.1,16781,16868,16922,-3602,-1432,-1432,61.6,0.05644571618943129,229.1757,25.3668,38.1947,57.4928,96.2711,38.3263,-1445,13154,10461
3843370,37.54,0.48,322.1,24181,24223,24342,1591,711,711,80.3,0.08119617205313417,229.1888,14.3031,19.5951,53.8449,110.2542,37.424,-6659,18048,14720
3843389,37.54,0.47,322.1,21487,21535,21646,-1198,-508,-508,71.0,0.072203284046592,229.2028,15.6872,21.7326,54.4351,108.5304,37.6418,-5419,16169,13152
3843468,37.65,0.48,338.8,24116,24158,24276,359,157,157,76.2,0.0809760197503034,229.2584,14.3969,19.7884,53.8266,110.1507,37.5053,-6601,17992,14708
3843531,36.13,0.49,168.3,12756,12831,12903,691,308,308,79.3,0.04303977520341756,229.3135,22.1317,32.4689,56.6044,100.3991,38.3585,-1816,9896,7963
3843572,37.1,0.53,263.0,18421,18449,18586,-225,-97,-97,74.1,0.06199622273352854,229.3506,10.895,14.7531,52.0729,114.4998,36.9708,-6112,13413,11095
3843600,36.89,0.54,238.8,21805,21848,21964,5009,2430,2430,97.2,0.07326401786932212,229.3744,14.5515,20.1075,53.7947,109.9799,37.6401,-5911,16260,13342
3843663,35.54,0.47,128.2,8926,8950,9092,-298,-128,-128,72.6,0.030327647535415985,229.4147,9.965,13.5171,51.5392,115.6541,36.8408,-3101,6457,5366
3843701,36.135,0.42,168.7,9140,9158,9307,-2988,-1134,-1134,56.5,0.031044810340092013,229.4521,8.5104,11.589,50.7306,117.4337,36.5555,-3389,6529,5454
3843709,38.15,0.53,426.6,27632,27781,27733,-2056,-866,-866,69.7,0.09250733052130351,229.4557,41.7453,68.6148,56.7959,75.6464,36.8279,5513,21543,16652
3843757,37.59,0.51,329.6,19206,19239,19369,-4041,-1611,-1611,61.7,0.06460802959893007,229.4891,11.8377,16.1975,52.4268,113.3729,37.287,-6072,14051,11655
3843856,37.84,0.51,369.8,22237,22266,22400,-3693,-1499,-1499,64.1,0.07471835732438606,229.5789,11.0828,15.2007,51.9746,114.3249,37.2278,-7302,16156,13470
3843869,37.458,0.315,310.2,25100,25195,25236,3361,1550,1550,86.7,0.08417823506420566,229.592,26.87,41.0666,57.3891,94.3478,38.6928,-1490,19609,15750
