AGC,RAJ2000,DEJ2000,cz,rgal,Vgal
20273,00 22 57.1,-22 07 09,7064,7437,-373
228,00 23 56.6,+24 18 21,5345,6267,-922
231,00 24 02.6,+16 29 10,495,1403,-908
234,00 24 46.4,+29 33 35,4343,4321,83
238,00 25 03.3,+31 20 39,6484,5023,1046
240,00 25 10.2,+06 29 26,8330,6241,2094
100229,00 25 24.8,+06 42 22,8594,6221,2373
20291,00 25 25.4,-41 36 10,7794,7592,202
244,00 25 30.0,+24 48 39,4218,4151,13
400228,00 25 47.6,-02 17 04,4984,5347,-363
20302,00 26 46.7,-33 40 36,1568,2289,-973
255,00 26 48.7,+31 42 11,5980,5797,272
260,00 27 02.9,+11 35 02,1785,2178,-393
272,00 27 49.8,-01 12 00,3555,3966,-411
100244,00 27 52.1,+03 28 36,1035,1800,-765
275,00 27 58.6,+02 30 26,4041,3263,677
279,00 28 15.3,+30 48 09,5955,5796,273
278,00 28 21.2,+27 22 08,9276,9518,-242
281,00 28 22.1,+02 31 36,3941,4602,-662
284,00 28 34.4,+33 16 19,4417,5844,-1327
100254,00 28 34.6,+31 09 19,5747,4871,876
294,00 29 23.3,+31 22 55,6016,7017,-948
100269,00 29 38.3,+11 36 01,4861,3073,1788
299,00 29 53.4,+31 23 35,5987,8600,-2531
20329,00 30 21.1,-33 14 44,1333,1684,-368
20336,00 30 46.8,-29 20 26,6960,8083,-1123
400257,00 31 14.0,-07 50 27,5784,7055,-1271
20344,00 31 16.0,-22 33 38,7749,8961,-1212
310,00 31 17.8,+28 59 35,4331,3839,492
20349,00 31 28.5,-19 45 50,6751,6015,736
400261,00 31 35.5,-10 30 22,3223,3260,-56
400265,00 31 45.3,-05 09 11,3793,843,2950
400814,00 31 56.7,-10 15 08,11371,14637,-3266
319,00 32 12.1,+31 40 53,6024,5255,814
20363,00 32 13.7,-41 22 57,7577,7685,-108
320,00 32 30.9,+02 34 26,2029,2971,-942
321,00 32 32.4,+23 23 40,4331,4484,-153
100293,00 32 44.4,+30 45 02,5798,6070,-891
323,00 32 50.5,+11 44 10,4573,4192,681
100295,00 32 52.9,+30 39 03,5734,4481,1253
400274,00 33 10.2,-13 08 46,5856,5659,197
327,00 33 15.4,+07 54 17,5052,5818,-802
329,00 33 36.2,+02 40 50,4043,3983,-43
100303,00 33 36.3,+23 24 05,4849,5890,-1041
400279,00 34 02.4,-09 42 20,3408,4124,-716
20385,00 34 15.7,-27 48 18,1305,1840,-535
400290,00 34 46.6,-08 23 47,1317,829,488
344,00 34 51.2,+39 32 41,5494,6412,-711
346,00 34 56.0,+31 56 55,5589,5132,457
351,00 35 36.5,+09 07 25,4973,5703,-710
353,00 35 39.4,+08 59 50,4725,5887,-1162
356,00 36 04.0,+23 57 31,4925,4936,-11
357,00 36 10.1,+21 27 51,8932,7985,947
359,00 36 10.6,+04 38 06,4581,2634,1947
400697,00 36 25.5,-57 00 29,9778,7947,1831
364,00 36 45.1,+21 33 59,8581,7968,613
20417,00 36 51.1,-28 22 30,6882,5480,1402
20423,00 37 06.6,-46 38 35,3343,3296,47
20425,00 37 14.3,-22 35 05,2751,3466,-715
376,00 37 54.1,+32 41 20,4508,5530,-1022
379,00 37 57.7,+05 08 52,4883,4527,489
20437,00 38 02.1,-53 37 42,8224,9034,-810
100364,00 38 28.2,+29 37 30,5333,5383,-204
388,00 38 31.8,+30 17 22,5089,5818,-639
393,00 38 39.8,+17 24 09,5095,8397,-3302
101075,00 38 40.5,+29 35 10,4998,7927,-2929
101112,00 38 54.4,+07 27 27,4898,7325,-2427
100381,00 38 55.7,+26 57 58,4858,4521,337
399,00 39 05.1,+06 01 15,4914,3398,1618
20445,00 39 17.9,-27 20 55,6599,6653,-54
20450,00 39 33.6,-35 48 19,6199,6890,-691
420,00 39 34.8,+02 53 14,4807,4953,-64
418,00 39 37.6,+08 57 55,4094,5111,-1076
422,00 39 43.1,+09 00 18,4097,10159,-6124
20457,00 40 35.2,-25 26 32,7119,7210,-91
400334,00 40 55.0,-13 46 31,8145,4816,3329
433,00 41 03.7,+31 43 59,4343,5875,-1453
438,00 41 27.8,+25 30 00,4211,4425,-162
400343,00 41 33.8,-10 01 18,3651,3916,-265
444,00 42 04.8,+36 48 16,10345,11019,-674
443,00 42 07.8,+33 24 22,5936,4110,1828
100917,00 42 11.7,+37 00 56,10314,8150,2164
20471,00 42 14.7,-18 09 39,1244,1844,-599
457,00 42 53.3,+33 31 22,5928,5260,678
461,00 43 27.8,-00 07 31,3832,4302,-362
20489,00 43 45.0,-24 25 17,6486,6481,5
400373,00 45 08.9,-09 37 53,5788,4354,1434
20506,00 45 51.8,-31 11 53,5546,5105,441
20510,00 46 06.7,-42 31 54,7003,6541,462
20511,00 46 16.8,-24 16 42,10290,11538,-1248
20516,00 46 42.1,-35 47 48,6780,4366,2414
483,00 46 50.3,+26 28 34,4633,5180,-547
400382,00 46 56.3,-21 50 48,6132,6321,-189
400846,00 47 25.2,-09 51 10,5439,5852,-413
400390,00 47 46.3,-09 50 05,5448,5155,293
400387,00 47 46.6,-09 53 54,1036,1188,-152
400848,00 47 51.9,-09 38 46,5742,8156,-2414
490,00 47 54.0,+19 35 48,4225,4159,66
493,00 48 01.5,+08 17 48,4939,4739,205
400393,00 48 03.4,-02 46 35,3714,3489,144
507,00 49 35.6,+01 06 54,4948,5677,-659
100592,00 49 52.1,+00 57 47,4290,4864,-574
510,00 49 58.4,+21 43 11,4208,4018,190
512,00 50 02.7,+07 55 06,5047,4956,-12
20577,00 50 21.1,-41 14 33,6792,7758,-966
20580,00 50 34.3,-43 03 53,6719,9245,-2526
20584,00 50 50.5,-26 29 23,5237,4796,441
400421,00 50 53.5,-21 53 56,18360,17667,-523
400672,00 51 16.6,-21 56 03,18463,15998,1146
400673,00 51 22.2,-21 32 56,17794,15346,1798
400674,00 51 36.8,-21 28 05,17699,17997,-853
100734,00 52 08.7,+14 30 11,8783,9715,-932
400443,00 52 18.2,-21 49 48,17082,14551,2593
533,00 52 28.0,+14 31 05,5143,4944,180
534,00 52 30.2,+24 21 04,9840,8793,1047
101127,00 52 43.9,+14 43 45,16447,13802,2645
400453,00 52 55.8,-21 50 27,16985,15055,2089
541,00 53 09.3,+21 55 35,6979,6723,256
20620,00 53 19.0,-26 47 54,10479,10446,33
400686,00 53 25.2,-21 50 59,18108,24561,-7417
400466,00 53 28.5,-21 54 38,17881,17659,-515
20626,00 53 31.2,-58 06 31,5839,4617,1222
544,00 53 32.6,+02 55 25,4574,6367,-1793
20625,00 53 43.3,-27 02 00,5292,4588,704
20630,00 53 46.3,-45 11 07,7123,6926,197
20628,00 53 48.6,-33 17 44,5130,5674,-544
20633,00 53 52.3,-46 58 20,8080,6000,2080
400688,00 53 59.6,-21 40 36,17078,13721,3423
20639,00 54 13.1,-62 27 19,10509,11491,-982
20642,00 54 33.3,-51 15 32,7127,7127,0
400611,00 54 42.0,-01 29 22,11525,15197,-3672
549,00 54 42.1,+36 45 54,5770,5482,288
20649,00 55 03.3,-19 00 21,6079,6089,-10
400619,00 55 13.6,-01 04 32,13973,12001,1972
100634,00 55 32.6,+30 23 53,6367,6419,-52
400641,00 56 46.5,-01 35 48,13227,14193,-966
20680,00 56 58.3,-45 24 41,7711,5853,1858
400516,00 57 35.0,-05 00 08,5336,3722,1428
400651,00 57 41.5,-01 18 43,13826,12287,1539
400520,00 57 47.5,-05 06 45,5165,7135,-1985
400521,00 57 55.3,-05 07 50,5158,5548,-398
400653,00 57 59.7,-01 25 09,12741,15225,-2484
400522,00 58 01.4,-05 04 16,4945,6199,-1049
20698,00 58 22.3,-36 39 35,10141,9464,677
604,00 58 35.4,+45 00 19,4955,8900,-3864
20702,00 58 51.9,-35 06 49,8969,7167,1802
400658,00 58 57.4,-00 39 18,22447,24498,-2051
20704,00 58 58.0,-18 44 37,1704,2167,-463
400659,00 58 58.9,-02 02 36,27021,26009,1012
400662,00 59 10.4,-01 53 57,15221,14126,1095
20709,00 59 29.3,-36 11 13,3250,3958,-708
614,00 59 36.3,+35 33 37,2064,2693,-629
615,00 59 40.1,+15 19 51,5180,5013,167
619,00 59 48.8,+14 43 24,11870,13416,-1546
400534,00 59 50.1,-07 34 33,1333,1461,-34
20715,01 00 08.9,-18 37 37,5977,8547,-2570
622,01 00 28.3,+47 59 42,2463,2735,-272
625,01 00 55.6,+47 40 56,2365,2449,-84
627,01 01 00.7,+13 28 04,11446,11598,-152
631,01 01 02.5,+09 43 29,5715,6462,-747
20740,01 01 34.6,-59 44 33,8305,8024,281
637,01 01 46.1,+03 04 54,4048,4306,-258
641,01 02 24.5,-01 57 29,3777,3587,152
410588,01 02 48.0,-06 24 41,5456,5387,95
410497,01 02 48.2,-01 28 24,5552,5519,33
410752,01 02 55.4,-06 24 42,13286,13630,-344
20755,01 03 13.9,-43 00 36,6917,6360,557
645,01 03 16.5,+22 20 32,4348,2172,2441
410508,01 03 41.2,-02 20 15,20945,30080,-9135
652,01 03 50.6,+22 01 37,5349,7215,-1888
410512,01 03 56.2,-02 15 44,15438,14469,969
20764,01 04 07.1,-51 07 55,7504,6944,560
20766,01 04 18.8,-35 07 12,9715,7464,2251
20775,01 04 29.7,-51 27 31,7235,5762,1473
20785,01 05 16.4,-42 54 49,8656,7401,1255
410534,01 05 26.3,-00 48 07,19621,25380,-5759
20791,01 05 38.0,-47 04 17,5602,8282,-2680
673,01 06 09.7,+31 24 21,5952,6416,-456
676,01 06 10.1,+01 13 59,14520,13424,1096
20797,01 06 14.6,-46 30 03,8934,7382,1658
