6dFGS,RAJ2000,DEJ2000,czgal,czgr,log(Dz/DH),e_log(Dz/DH)
g0056150-470352,14.0625,-47.0644,8292,8348,0.0028,0.0935
g0056159-524658,14.0664,-52.7827,7840,7504,0.0754,0.0914
g0056165-100032,14.0688,-10.0089,15661,,-0.0089,0.1363
g0056227-002043,14.09445,-0.3452,13040,12910,-0.0489,0.1533
g0056235-005913,14.09805,-0.9869,12889,12910,-0.0397,0.1134
g0056326-014619,14.1357,-1.7719,3628,,0.0662,0.1071
g0056359-003152,14.14935,-0.5311,12770,12910,-0.2808,0.1359
g0056389-024841,14.1621,-2.8114,13343,,0.0615,0.1496
g0056408-523111,14.1702,-52.5196,8019,7504,-0.1935,0.1098
g0056441-080337,14.1837,-8.0603,14909,,0.0802,0.155
g0056472-530551,14.19675,-53.0974,7272,7504,0.0945,0.091
g0056487-215552,14.2029,-21.9311,15569,,-0.0589,0.1287
g0056550-465830,14.22915,-46.9749,8562,8348,-0.2246,0.1045
g0057071-022836,14.2794,-2.4766,12203,,-0.0934,0.1304
g0057097-012249,14.29035,-1.3802,11753,12910,0.0096,0.1272
g0057100-434338,14.2917,-43.7271,6928,,0.1725,0.0906
g0057206-685115,14.33595,-68.8541,10386,,0.111,0.1112
g0057258-003112,14.3574,-0.5199,12441,12910,0.0624,0.1511
g0057376-485410,14.4066,-48.9027,7282,,0.1897,0.0934
g0057427-101756,14.42805,-10.299,14643,,-0.0084,0.1377
g0057459-112920,14.4411,-11.489,11288,,-0.2325,0.1662
g0057464-091308,14.44335,-9.2189,7356,,0.003,0.0985
g0057465-003456,14.44365,-0.5823,13490,12910,0.027,0.1267
g0057489-162447,14.45385,-16.4131,16065,15896,-0.1329,0.1228
g0057535-092715,14.47305,-9.4541,14582,14738,-0.1204,0.1662
g0058016-050416,14.50665,-5.0712,4862,5051,-0.0608,0.1144
g0058026-020218,14.5107,-2.0382,12443,,0.0497,0.1188
g0058032-463702,14.51325,-46.6172,6642,,-0.0377,0.0911
g0058050-164236,14.5206,-16.7099,15736,15896,-0.0582,0.1162
g0058109-081301,14.5455,-8.217,4237,,0.1182,0.0941
g0058180-010856,14.5749,-1.1489,15351,,-0.0268,0.1279
g0058198-152331,14.5824,-15.3919,5211,,-0.0664,0.0989
g0058206-015613,14.5857,-1.9368,12713,,0.1299,0.123
g0058218-060006,14.5908,-6.0017,14217,,-0.0747,0.1128
g0058220-500544,14.59185,-50.0955,16102,,0.1679,0.1302
g0058247-014939,14.6028,-1.8275,12324,,-0.09,0.1329
g0058287-162327,14.61975,-16.3908,16066,15896,-0.0922,0.1534
g0058407-162127,14.66955,-16.3576,15886,15896,0.1981,0.1203
g0058438-764748,14.6823,-76.7966,11631,,0.1299,0.1066
g0058454-154339,14.6892,-15.7275,15195,,-0.092,0.1164
g0058468-004507,14.6949,-0.7518,12861,12910,-0.0771,0.1122
g0058513-162809,14.7138,-16.4692,15886,15896,0.0599,0.1004
g0058532-084631,14.72145,-8.7752,7656,,0.075,0.1081
g0058561-165208,14.73375,-16.8687,10641,,-0.0542,0.0986
g0059200-441940,14.8335,-44.3277,9750,,-0.0862,0.0993
g0059201-632934,14.83365,-63.4928,11556,,0.0431,0.1027
g0059237-044812,14.84865,-4.8032,5342,5051,0.0794,0.1151
g0059256-135356,14.85675,-13.8989,15371,15541,-0.0393,0.1593
g0059262-044740,14.859,-4.7945,5163,5051,-0.074,0.111
g0059373-101957,14.9055,-10.3325,6460,,0.0095,0.1067
