galaxy,ra,dec,v_cmb,DM_baseline,e_DM,catalog,indicator
g0041398-421916,10.416,-42.321,5745,34.22364385933553,0.4585000276565552,6dFGSv,FP
g0041485-014419,10.45185,-1.7387,5207,33.88063159076569,0.5024999976158142,6dFGSv,FP
g0041533-104958,10.4721,-10.8327,15593,36.14734215866386,0.5099999904632568,6dFGSv,FP
g0042046-420959,10.5189,-42.1663,15967,37.088810196945204,0.5245000123977661,6dFGSv,FP
g0042148-112817,10.56165,-11.4714,5552,34.316940974631855,0.5615000128746033,6dFGSv,FP
g0042166-503033,10.569,-50.5093,8483,35.35294114004053,0.48099997639656067,6dFGSv,FP
g0042223-133625,10.59285,-13.607,15929,37.38963625539752,0.6784999966621399,6dFGSv,FP
g0042368-013144,10.65345,-1.5288,5088,34.05192923323294,0.45899999141693115,6dFGSv,FP
g0042476-034945,10.69845,-3.8292,5510,34.91795168225519,0.6470000147819519,6dFGSv,FP
g0043081-462154,10.7838,-46.3651,14458,36.436734667076564,0.5814999938011169,6dFGSv,FP
g0043083-110739,10.7847,-11.1276,10678,36.690143181413106,0.5745000243186951,6dFGSv,FP
g0043241-111522,10.8504,-11.256,10828,35.86093502088839,0.7484999895095825,6dFGSv,FP
g0043285-062056,10.86855,-6.3488,5514,33.18652743396501,0.512499988079071,6dFGSv,FP
g0043334-040704,10.88895,-4.1178,5451,34.16907465547057,0.5260000228881836,6dFGSv,FP
g0043554-452920,10.98075,-45.4888,15474,36.12470662994515,0.5534999966621399,6dFGSv,FP
g0043596-111821,10.99815,-11.3057,10829,36.39763544707198,0.562999963760376,6dFGSv,FP
g0043597-763527,10.99875,-76.5909,10518,34.46585968253322,0.5180000066757202,6dFGSv,FP
g0044201-065937,11.0835,-6.9937,15948,36.1192249028022,0.718500018119812,6dFGSv,FP
g0044230-025040,11.09595,-2.8446,15973,37.01112611929066,0.6494999527931213,6dFGSv,FP
g0044238-684735,11.09925,-68.7932,10502,36.452053670823915,0.8569999933242798,6dFGSv,FP
g0044281-475036,11.1171,-47.8433,9669,35.4946015149562,0.4919999837875366,6dFGSv,FP
g0044313-030101,11.13045,-3.017,15883,35.454356269409644,0.4724999964237213,6dFGSv,FP
