galaxy,ra,dec,v_cmb,DM_baseline,e_DM,catalog,indicator
g0039016-160615,9.75675,-16.1043,5620,35.30287535315124,0.5260000228881836,6dFGSv,FP
g0039125-004510,9.80205,-0.7527,13388,36.273272187900716,0.534500002861023,6dFGSv,FP
g0039141-530711,9.80895,-53.1196,8165,35.23847471088784,0.6244999766349792,6dFGSv,FP
g0039338-022130,9.89085,-2.3584,15699,36.5490536635593,0.5710000395774841,6dFGSv,FP
g0039451-560356,9.93795,-56.0655,8541,35.28973721027903,0.5034999847412109,6dFGSv,FP
g0039496-162134,9.9567,-16.3593,8319,35.76304938306748,0.49549999833106995,6dFGSv,FP
g0040042-561050,10.0176,-56.1805,8302,35.41710723257423,0.4860000014305115,6dFGSv,FP
g0040148-152815,10.06155,-15.4707,15992,35.95620757138066,0.6665000319480896,6dFGSv,FP
g0040345-013119,10.14375,-1.522,13511,37.20963116445702,0.643500030040741,6dFGSv,FP
g0040417-813400,10.1736,-81.5667,13725,36.679255344318804,0.6934999823570251,6dFGSv,FP
g0040439-850228,10.1829,-85.0412,12996,38.158242067399485,0.6979999542236328,6dFGSv,FP
g0040460-062406,10.1916,-6.4018,16035,37.29903853235085,0.6430000066757202,6dFGSv,FP
g0040465-085005,10.1937,-8.8348,15829,37.10996096864101,0.675000011920929,6dFGSv,FP
g0040489-561251,10.2036,-56.2141,8002,34.60118639941039,0.4690000116825104,6dFGSv,FP
g0040598-601545,10.2492,-60.2626,10033,36.1558478255251,0.6239999532699585,6dFGSv,FP
g0041004-555621,10.2516,-55.9392,8421,35.11951195558213,0.531000018119812,6dFGSv,FP
g0041058-152541,10.2744,-15.4281,16082,35.88789392890354,0.6290000081062317,6dFGSv,FP
g0041065-370149,10.2771,-37.0301,10158,36.04823474741457,0.5460000038146973,6dFGSv,FP
g0041212-440955,10.33845,-44.1654,8721,35.36702520839509,0.7434999942779541,6dFGSv,FP
g0041334-142148,10.38915,-14.3633,15600,37.48831662111025,0.7069999575614929,6dFGSv,FP
