CID,RA,DEC,zCMB,HOST_LOGMASS,IS_CALIBRATOR,V_rot,V_rot_source,U_i,X_i
AT2016htm,38.0109,-26.6659,0.04265,9.40838,0,106.69031458031655,tully-fisher,5691.411612623453,-2.1210732994672148e-08
ASASSN-16ct,228.476,4.7573,0.04252,8.98925,0,83.8190039511423,tully-fisher,3512.812711680804,-4.545091488719405e-08
SN2016ayg,112.572,25.0321,0.04328,8.05522,0,48.95927698518339,tully-fisher,1198.5054014559541,-7.120105647166385e-08
2007nq,14.3899,-1.3886,0.04275,11.1165,0,285.20359510144897,tully-fisher,40670.545329395616,3.679846179120636e-07
MASTERJ0134,23.5627,-17.8121,0.04391,9.19675,0,94.453378252563,tully-fisher,4460.72033166087,-3.4904020222149325e-08
ASASSN-15mg,233.094,41.8504,0.04307,9.84386,0,137.08659697093134,tully-fisher,9396.367534535279,2.0012461147241642e-08
AT2016cvv,290.12,54.2087,0.04404,11.4594,0,347.4401434496992,tully-fisher,60357.32664017377,5.8702960120159e-07
2005ku,344.927,-0.0137,0.04397,9.64568,0,122.3066288021214,tully-fisher,7479.455724469955,-1.316059181948611e-09
1992bh,74.8628,-58.8304,0.0451,10.1363,0,162.2202235920931,tully-fisher,13157.70047113434,6.186293417467432e-08
2006gt,14.0721,-1.6294,0.04366,9.98853,0,148.9918441456229,tully-fisher,11099.284810956791,3.895997117789236e-08
2006hx,18.4888,0.3717,0.04429,10.1086,0,159.65407049432173,tully-fisher,12744.711112702926,5.726780784659171e-08
PS16cqa,234.779,9.2946,0.04433,10.6243,0,214.8349799515743,tully-fisher,23077.034305396664,1.7223040764173963e-07
PSNJ1204051,181.021,14.0681,0.04502,10.0939,0,158.30877767676517,tully-fisher,12530.834544755731,5.4888110093441694e-08
2005hc,29.1998,-0.2137,0.04496,7.0,0,26.67042864326648,tully-fisher,355.65588200778444,-8.057902212225155e-08
SN2016esh,241.06,16.6902,0.04488,9.49048,0,111.85360753856087,tully-fisher,6255.6147596952005,-1.4933126362522067e-08
PS17tn,145.807,41.3173,0.04549,10.2394,0,172.13928536539706,tully-fisher,14815.966783054799,8.031363522377558e-08
2008050,204.198,5.1418,0.04627,9.02736,0,85.67813327349224,tully-fisher,3670.3712606151485,-4.36978396041588e-08
AT2016ews,225.652,23.3528,0.04612,10.3881,0,187.52319577736515,tully-fisher,17582.47447727801,1.1109518463427781e-07
2005lz,32.7073,34.9828,0.04541,11.0342,0,272.0069468113276,tully-fisher,36993.8895568102,3.270763053974933e-07
360156,150.807,1.8953,0.04673,9.8038,0,133.9614981080296,tully-fisher,8972.841487673806,1.5300098349435795e-08
2004gu,191.603,11.9489,0.0467,10.026,0,152.24042780114365,tully-fisher,11588.573928537615,4.440404681891965e-08
2008cf,211.886,-26.5518,0.04692,8.91208,0,80.17703572938917,tully-fisher,3214.178529175874,-4.877366828623043e-08
AT2017yk,146.133,-12.3082,0.04764,10.0803,0,157.07425034197234,tully-fisher,12336.160060246297,5.272206433242538e-08
