CID,sn_ra,sn_dec,zCMB,HOST_LOGMASS,IS_CALIBRATOR,pgc,galaxy_name,match_sep_arcsec,log_2Vm,e_log_2Vm,u_log_2Vm,vmax_apparent,VHI,e_VHI,m21,logR25,inclination_deg,v_rot,v_rot_log,mtype,v_rot_alfalfa,w50_alfalfa,v_rot_sparc,v_rot_deep,v_rot_source
PS16aer,163.742,14.2716,0.05668,10.2711,0,32796.0,MCG3-28-034,12.302341240541242,,,,,,,,0.1899999976158142,51.20352326028178,,,SBb,,,,,None
2005hj,21.7017,-1.2381,0.05631,9.22407,0,,,,,,,,,,,,,,,,,,,,None
2008eq,255.03,23.1324,0.0568,10.1809,0,214560.0,,5.78788389663223,,,,,,,,0.2000000029802322,52.35549301228906,,,,,,,,None
2006ob,27.9506,0.2633,0.0576,11.0302,0,6888.0,UGC1333,4.3863424398807425,,,,,,,,0.1199999973177909,41.68377078099997,,,Sb,,,,,None
SN2016gmb,8.6861,-6.1589,0.05708,9.39885,0,,,,,,,,,,,,,,,,,,,,None
2001ah,167.624,55.1608,0.05837,10.5719,0,33914.0,UGC6211,33.125585277810394,,,,,,,,0.0599999986588954,30.09793122596416,,,SBbc,,,,,None
LSQ13crf,47.7093,1.4219,0.05934,8.80055,0,1194221.0,,100.91172379854702,,,,,,,,0.3600000143051147,66.67142237937365,,,,,,,,None
SN2017cjv,152.69,-3.7775,0.06079,10.6078,0,112752.0,LCRSB100813.8-033156,5.000000000000782,,,,,,,,0.1500000059604644,46.12309276496313,,,,,,,,None
2008bz,189.741,11.1295,0.0613,10.3562,0,1389223.0,,5.445181355936065,,,,,,,,0.3400000035762787,65.1978713212099,,,,,,,,None
SN2016hhv,353.952,20.7088,0.06067,10.7875,0,1634119.0,,10.390014437236117,,,,,,,,0.4199999868869781,70.73122586849632,,,,,,,,None
2008go,332.687,-20.7881,0.06116,10.7539,0,836926.0,NPM1G-21.0533,15.886648482490848,,,,,,,,0.1000000014901161,38.31727915996693,,,,,,,,None
2006oa,320.929,-0.8435,0.06142,8.11091,0,,,,,,,,,,,,,,,,,,,,None
1992bs,52.3749,-37.2718,0.0637,10.5104,0,132177.0,,30.14962686337516,,,,,,,,0.2000000029802322,52.35549301228906,,,Sc,,,,,None
SN2016aqb,170.493,-13.9837,0.06419,9.62423,0,930612.0,,13.837355238703978,,,,,,,,0.2899999916553497,61.18419211769342,,,,,,,,None
PS16bnz,155.154,-2.4668,0.06398,11.2932,0,30237.0,,26.78414456358578,1.9769999980926511,0.0230000000447034,0.0,47.4209229567801,6557.0,9.0,16.479999542236328,0.25,57.56031600718797,56.18881696270085,56.18881696270085,,,,,56.18881696270085,HyperLEDA
2007ae,255.467,79.0318,0.06485,10.8837,0,59458.0,UGC10704,49.61048679480484,,,,,,,,0.2800000011920929,60.31645361613234,,,Sbc,,,,,None
PS15cms,149.646,0.743,0.06603,10.4286,0,139231.0,IRAS09560+0058,3.9812058474553647,,,,,,,,0.1899999976158142,51.20352326028178,,,,,,,,None
6057,52.5536,-0.9746,0.06652,9.52798,0,1130011.0,,1.0560303026245328,,,,,,,,0.0700000002980232,32.395916947825754,,,,,,,,None
SN2016ixf,159.936,15.0347,0.06723,9.99601,0,,,,,,,,,,,,,,,,,,,,None
AT2016aj,70.6025,-21.7244,0.06731,10.7026,0,146481.0,,6.128262396506657,,,,,,,,,,,,,,,,,None
PS15bjg,343.793,-0.4102,0.06758,11.2378,0,3092537.0,NPM1G-00.0602,5.517100687999982,,,,,,,,,,,,,,,,,None
CSS160129,115.123,10.9333,0.06841,8.86459,0,,,,,,,,,,,,,,,,,,,,None
2006al,159.868,5.1834,0.06908,10.5011,0,,,,,,,,,,,,,,,,,,,,None
PTSS17-niq,215.069,15.3417,0.0691,10.6052,0,1482135.0,,11.25941383908614,,,,,,,,0.1400000005960464,44.71307114039239,,,,,,,,None
1993B,158.717,-34.4417,0.07076,9.39781,0,662260.0,,12.67692391722467,,,,,,,,0.1700000017881393,48.76560643100902,,,,,,,,None
2008Y,169.877,54.4628,0.07028,10.544,0,34650.0,MCG9-19-039,9.47715147074691,,,,,,,,0.2899999916553497,61.18419211769342,,,,,,,,None
PS17yt,150.992,49.0412,0.07046,9.95752,0,,,,,,,,,,,,,,,,,,,,None
PS16em,163.892,-3.3663,0.07113,10.0881,0,114071.0,LCRSB105301.1-030602,6.778082324693711,,,,,,,,0.050000000745058,27.571955431350226,,,,,,,,None
2006on,328.994,-1.0702,0.07068,10.2479,0,,,,,,,,,,,,,,,,,,,,None
470043,128.994,44.7675,0.07061,7.0,0,,,,,,,,,,,,,,,,,,,,None
ATLAS16bwu,18.5927,-13.1531,0.07074,9.63137,0,,,,,,,,,,,,,,,,,,,,None
PS15bdr,253.706,36.7252,0.07094,10.5352,0,2085824.0,,8.542154295072738,,,,,,,,0.0399999991059303,24.747746415913262,,,,,,,,None
PS15bwh,352.644,-18.8915,0.07149,10.6434,0,,,,,,,,,,,,,,,,,,,,None
370566,159.985,58.4149,0.07134,9.18771,0,,,,,,,,,,,,,,,,,,,,None
PS15mt,148.684,23.1981,0.07193,8.92458,0,,,,,,,,,,,,,,,,,,,,None
2007jd,44.9724,1.1607,0.07196,9.75914,0,1186356.0,,5.474486277252906,,,,,,,,0.1700000017881393,48.76560643100902,,,,,,,,None
PS15atx,195.827,-23.0658,0.07301,10.2531,0,805316.0,,3.3021810973523285,,,,,,,,0.3000000119209289,62.028717999378486,,,,,,,,None
Gaia16aki,239.794,14.6416,0.07398,9.48062,0,1463270.0,,1.532187978130097,,,,,,,,0.1500000059604644,46.12309276496313,,,,,,,,None
1992ae,322.075,-61.5504,0.07478,10.1995,0,354657.0,,118.90602844267052,,,,,,,,0.3000000119209289,62.028717999378486,,,,,,,,None
PS17bii,171.409,7.3336,0.07467,10.167,0,1319323.0,,2.927729495715113,,,,,,,,0.0299999993294477,21.507541089430337,,,,,,,,None
7876,19.1825,0.7946,0.0749,9.78646,0,,,,,,,,,,,,,,,,,,,,None
2005ir,19.1825,0.7946,0.0749,9.78987,0,,,,,,,,,,,,,,,,,,,,None
2010hs,36.4131,24.7649,0.07514,10.4575,0,9227.0,CGCG483-42,107.36496262744863,2.572000026702881,0.0189999993890523,0.0,186.62509037262595,10367.0,10.0,18.010000228881836,0.0599999986588954,30.09793122596416,372.1489927088437,372.1489927088437,,,,,372.1489927088437,HyperLEDA
AT2016gsu,17.1024,21.1516,0.07529,9.75909,0,,,,,,,,,,,,,,,,,,,,None
370333,164.38,57.2977,0.07557,7.99137,0,,,,,,,,,,,,,,,,,,,,None
