pgc,galaxy_name,cep_mu,cep_mu_err,trgb_mu,trgb_mu_err,delta_mu,delta_mu_err,ra,dec,v_cmb,cep_source,trgb_source,sample,r22_matched,sigma_kms,sigma_err_kms,U_i,S_total,X_i,X_i_unscreened,U_i_err,X_i_err,cmb_dot,cmb_sep_deg
37466,NGC 3972,31.644,0.09,31.747,0.068,-0.10300000000000153,0.1128007092176286,178.93787699999996,55.320735,,R22_HST,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),JWST,True,77.781746,7.7781746,6050.000010808516,0.0943774377791773,-4.002130479197233e-09,-1.722089898126427e-08,1210.0000021617032,1.2706096456358864e-09,0.4550133501177002,62.93420679791002
41823,NGC 4536,30.838,0.051,30.923,0.052,-0.0849999999999973,0.07283543093852057,188.6130369583333,2.1878799999999994,,R22_HST,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),JWST,True,110.096526,11.0096526,12121.245037268676,0.7501032206681933,9.080902213475338e-08,5.033081220879724e-08,2424.2490074537354,2.0232840168426012e-08,0.9234657780729825,22.56186713770664
42741,NGC 4639,31.818,0.085,31.774,0.073,0.04400000000000048,0.11204463396343442,190.71824375014,13.257418376,,R22_HST,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),JWST,True,117.309015,11.730901500000002,13761.405000270226,0.8688981307981486,1.2268727116976102e-07,6.8580052956503e-08,2752.2810000540453,2.6608489975427534e-08,0.8631408932111458,30.32890723488859
68535,NGC 7250,31.628,0.126,31.629,0.047,-0.0010000000000012221,0.1344804818551748,334.5740666666667,40.56240555555555,,R22_HST,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),JWST,True,50.275292,5.0275292,2527.604985685264,0.9348880467671816,1.5937050188455403e-08,-5.6412829202728004e-08,505.5209971370528,5.258445779166413e-09,-0.8123135348004971,144.32258983408258
14814,NGC 1559,31.5,0.07,31.5,0.05,0.0,0.08602325267042628,64.3989619176,-62.78368099094,,R22_HST,Anand F090W (Anand et al. 2024 ApJ 976 177 Table 2 s=0.10),JWST,True,94.964441,9.4964441,9018.24505444248,0.9002537074957508,7.997763647347987e-08,1.5805281160537776e-08,1803.649010888496,1.8066563036171306e-08,0.0012038404597067148,89.93102500579158
22721,NGC 2525,32.06,0.11,31.87,0.06,0.19000000000000128,0.12529964086141668,121.40849930031004,-11.427045532359998,,R22_HST,Anand F090W (Anand et al. 2024 ApJ 976 177 Table 2 s=0.10),JWST,True,89.66114,8.966114000000001,8039.1200260996,0.8673780517816038,6.722942309794587e-08,4.911045983845725e-09,1607.8240052199203,1.551692036106451e-08,0.6933021941629157,46.10792203957871
32207,NGC 3370,32.13,0.06,32.19,0.06,-0.05999999999999517,0.08485281374238571,161.76697273869,17.27369871105,,R22_HST,Anand F090W (Anand et al. 2024 ApJ 976 177 Table 2 s=0.10),JWST,True,105.641753,10.5641753,11160.179976913008,0.9357840305883782,1.0584463240876651e-07,3.9637521276038155e-08,2232.035995382602,2.3239962223228637e-08,0.9064920314486882,24.975009677016686
32694,NGC 3447,31.95,0.05,31.93,0.06,0.019999999999999574,0.07810249675906655,163.34986296531,16.77242823926,,R22_HST,Anand F090W (Anand et al. 2024 ApJ 976 177 Table 2 s=0.10),JWST,True,32.880465,3.2880465,1081.124978616225,0.94049939283832,9.582179775802967e-10,-7.250708981218606e-08,216.224995723245,2.262679336991392e-09,0.9124945954918897,24.14760494731182
51344,NGC 5584,31.77,0.06,31.95,0.08,-0.17999999999999972,0.1,215.5992125,-0.3874499999999999,,R22_HST,Anand F090W (Anand et al. 2024 ApJ 976 177 Table 2 s=0.10),JWST,True,88.176216,8.8176216,7775.045068078655,0.9278918472664228,6.991585729309334e-08,1.972815815402112e-09,1555.0090136157312,1.6054207200094003e-08,0.6694246149671477,47.97732816846724
54097,NGC 5861,32.23,0.11,32.1,0.06,0.12999999999999545,0.12529964086141668,227.31704695833332,-11.321661111111112,,R22_HST,Anand F090W (Anand et al. 2024 ApJ 976 177 Table 2 s=0.10),JWST,True,112.076425,11.2076425,12561.125040780626,0.8434248728027163,1.0752303262787909e-07,5.52251373144416e-08,2512.225008156125,2.3575642267051152e-08,0.5195730359064094,58.69638405230683
